,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Pakistan,0.0,1.0,0.0,7.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,5.0,0.0,37.0,0.0,45.0,10.0,787.0,0.0,0.0,9.0,1.0,165.0,34.0,0.0,61.0,0.0,21.0,3.0,0.0,3.0,0.0,15.0,1.0,0.0,2.0,0.0,25.0,1.0,0.0,0.0,11.0,5.0,0.0,23.0,92.0,64.0,4.0,10.0,5.0,1.0,0.0,51.0,0.0,0.0,0.0,1.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,111.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,9.0,459.0,0.0,35.0,3.0,1.0,0.0,6.0,4.0,11.0,6.0,12.0,0.0,0.0,0.0,0.0,5.0,5.0,22.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,87.0,28.0,4.0,1.0,0.0,25.0,10.0
Azerbaijan,0.0,2.0,0.0,21.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,9.0,0.0,475.0,0.0,0.0,12.0,2.0,0.0,4.0,0.0,12.0,0.0,7.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,5.0,0.0,3.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,8.0,0.0,0.0,6.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0
Eritrea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,41.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0
Ethiopia,0.0,0.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,39.0,0.0,5.0,0.0,178.0,0.0,0.0,8.0,4.0,3.0,6.0,1.0,33.0,0.0,5.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,6.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,4.0,3.0,15.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,62.0,0.0,49.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,4.0,17.0,24.0,4.0,0.0,1.0,0.0,8.0,1.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,10.0,0.0,1.0,4.0,1.0,0.0,0.0,12.0,3.0
Barbados,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,54.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
Hungary,0.0,0.0,1.0,49.0,4.0,16.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,17.0,0.0,577.0,0.0,0.0,14.0,3.0,3.0,16.0,0.0,18.0,1.0,4.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,3.0,0.0,4.0,18.0,13.0,0.0,18.0,3.0,1.0,0.0,71.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,7.0,0.0,16.0,6.0,0.0,55.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,15.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0,16.0,4.0,0.0,4.0,7.0,1.0,2.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,13.0,1.0,1.0,21.0
Guinea,0.0,0.0,2.0,8.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,13.0,2.0,22.0,0.0,167.0,0.0,1.0,1.0,2.0,2.0,1.0,54.0,1110.0,2.0,22.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,161.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,20.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,106.0,454.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,6.0,0.0,2.0,8.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,14.0,0.0,83.0,2.0,1.0,2.0,2.0,12.0,4.0
Haiti,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,237.0,0.0,6.0,0.0,279.0,0.0,0.0,3.0,1.0,0.0,77.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,20.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,3.0
Denmark,0.0,0.0,1.0,50.0,0.0,4.0,0.0,0.0,19.0,0.0,2.0,3.0,10.0,4.0,0.0,31.0,0.0,682.0,0.0,0.0,13.0,5.0,3.0,2.0,0.0,16.0,4.0,14.0,4.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,2.0,2.0,0.0,0.0,1.0,7.0,8.0,0.0,13.0,3.0,0.0,0.0,52.0,0.0,0.0,1.0,11.0,0.0,5.0,4.0,0.0,0.0,9.0,0.0,11.0,10.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,5.0,47.0,0.0,0.0,7.0,7.0,12.0,0.0,29.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0,0.0,9.0,5.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,13.0,0.0,3.0,1.0,1.0,0.0,0.0,4.0,11.0
Thailand,0.0,0.0,1.0,22.0,2.0,2.0,5.0,0.0,1.0,0.0,3.0,5.0,1.0,3.0,1.0,49.0,0.0,899.0,0.0,0.0,43.0,9.0,51.0,5.0,0.0,73.0,1.0,46.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,53.0,1.0,0.0,5.0,4.0,0.0,2.0,13.0,24.0,23.0,8.0,11.0,6.0,2.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,12.0,0.0,98.0,22.0,3.0,42.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,58.0,5.0,1.0,15.0,5.0,1.0,0.0,8.0,1.0,21.0,7.0,12.0,1.0,0.0,3.0,0.0,15.0,10.0,5.0,0.0,19.0,10.0,2.0,6.0,3.0,0.0,1.0,1.0,1.0,154.0,0.0,9.0,2.0,0.0,6.0,0.0,10.0,26.0
Bangladesh,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,42.0,0.0,24.0,0.0,529.0,0.0,0.0,3.0,10.0,508.0,3.0,0.0,23.0,0.0,12.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0,6.0,3.0,0.0,1.0,14.0,0.0,0.0,1.0,7.0,6.0,2.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,5.0,0.0,4.0,21.0,0.0,16.0,6.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,5.0,20.0,7.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,25.0,6.0,1.0,1.0,0.0,3.0,6.0
Austria,0.0,0.0,2.0,16.0,5.0,4.0,8.0,0.0,6.0,1.0,5.0,6.0,7.0,2.0,0.0,14.0,0.0,849.0,0.0,0.0,23.0,18.0,4.0,13.0,0.0,47.0,3.0,10.0,0.0,0.0,3.0,3.0,30.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,1.0,6.0,2.0,0.0,16.0,57.0,33.0,0.0,28.0,10.0,0.0,0.0,125.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,13.0,0.0,17.0,11.0,6.0,77.0,12.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,29.0,11.0,20.0,0.0,14.0,4.0,6.0,0.0,3.0,20.0,12.0,14.0,43.0,1.0,1.0,0.0,0.0,1.0,2.0,14.0,0.0,24.0,6.0,2.0,6.0,12.0,0.0,0.0,2.0,0.0,17.0,0.0,15.0,2.0,1.0,7.0,0.0,3.0,22.0
"Bolivia, Plurinational State of",0.0,0.0,1.0,1.0,2.0,1.0,13.0,0.0,0.0,4.0,1.0,4.0,3.0,2.0,0.0,2.0,0.0,734.0,0.0,0.0,1.0,1.0,19.0,0.0,1.0,28.0,1.0,30.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,5.0,0.0,5.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,15.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,42.0,3.0,1.0,0.0,8.0,3.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,13.0
"Korea, Democratic People's Republic of",0.0,0.0,1.0,19.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,243.0,0.0,0.0,13.0,0.0,3.0,7.0,0.0,10.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Albania,0.0,0.0,1.0,143.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,0.0,2107.0,0.0,0.0,33.0,1.0,3.0,1.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,5.0,0.0,6.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0,7.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0
"Palestine, State of",0.0,0.0,0.0,22.0,0.0,0.0,11.0,2.0,83.0,1.0,15.0,7.0,0.0,10.0,1.0,85.0,0.0,1882.0,1.0,0.0,10.0,12.0,7.0,443.0,0.0,76.0,1.0,57.0,3.0,0.0,3.0,2.0,12.0,0.0,0.0,3.0,0.0,24.0,2.0,0.0,4.0,2.0,3.0,0.0,12.0,93.0,22.0,0.0,43.0,34.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,1.0,0.0,6.0,0.0,47.0,23.0,3.0,236.0,1.0,0.0,0.0,0.0,2.0,16.0,6.0,9.0,6.0,17.0,32.0,1.0,4.0,20.0,0.0,0.0,7.0,106.0,34.0,12.0,12.0,0.0,0.0,2.0,1.0,0.0,2.0,28.0,0.0,47.0,14.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,56.0,1.0,16.0,7.0,0.0,5.0,0.0,11.0,26.0
Hong Kong,0.0,0.0,0.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,0.0,302.0,0.0,0.0,55.0,0.0,2.0,0.0,0.0,19.0,0.0,20.0,6.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,11.0,1.0,23.0,1.0,0.0,0.0,122.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,19.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,11.0,26.0,0.0,0.0,4.0,157.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,15.0,37.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,57.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,2.0,6.0
Myanmar,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,12.0,0.0,373.0,0.0,0.0,37.0,2.0,4.0,5.0,0.0,16.0,2.0,7.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,0.0,6.0,1.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,10.0,32.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,195.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,2.0,15.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0
Swaziland,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,9.0,0.0,163.0,0.0,0.0,0.0,1.0,18.0,2.0,0.0,68.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,3.0,3.0,1.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,36.0,19.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0
Switzerland,0.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,5.0,9.0,0.0,43.0,0.0,1017.0,0.0,0.0,103.0,2.0,12.0,36.0,5.0,96.0,2.0,38.0,0.0,0.0,0.0,2.0,39.0,0.0,0.0,4.0,0.0,15.0,6.0,1.0,0.0,9.0,11.0,6.0,1.0,30.0,45.0,9.0,37.0,32.0,0.0,0.0,112.0,0.0,1.0,0.0,4.0,2.0,6.0,3.0,1.0,0.0,6.0,0.0,24.0,65.0,13.0,114.0,17.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,2.0,21.0,14.0,0.0,6.0,17.0,0.0,0.0,14.0,4.0,36.0,13.0,27.0,0.0,0.0,7.0,0.0,3.0,3.0,4.0,0.0,20.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,23.0,0.0,4.0,5.0,2.0,3.0,0.0,29.0,29.0
New Zealand,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,22.0,0.0,440.0,0.0,1.0,2.0,0.0,1.0,7.0,2.0,32.0,0.0,11.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,3.0,3.0,0.0,1.0,2.0,16.0,26.0,0.0,2.0,1.0,0.0,0.0,114.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,92.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,6.0,89.0,0.0,3.0,77.0,0.0,0.0,13.0,1.0,10.0,13.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,114.0,0.0,59.0,7.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,123.0,0.0,8.0,1.0,0.0,0.0,1.0,2.0,6.0
Tunisia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,570.0,0.0,0.0,3.0,1.0,0.0,24.0,0.0,6.0,0.0,35.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0
Singapore,0.0,0.0,0.0,22.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,89.0,0.0,570.0,1.0,0.0,146.0,0.0,42.0,0.0,0.0,18.0,0.0,49.0,0.0,0.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,16.0,1.0,3.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,0.0,108.0,1.0,0.0,0.0,2.0,0.0,31.0,0.0,1.0,1.0,38.0,5.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,72.0,17.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,8.0
Jordan,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,440.0,0.0,0.0,11.0,0.0,1.0,27.0,0.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,20.0,1.0,1.0,2.0,0.0,1.0,0.0,24.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,6.0,6.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0
Philippines,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,1.0,414.0,0.0,3441.0,0.0,0.0,21.0,0.0,237.0,2.0,1.0,42.0,2.0,971.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,17.0,5.0,0.0,2.0,0.0,0.0,1.0,6.0,16.0,21.0,0.0,6.0,3.0,1.0,0.0,81.0,2.0,1.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,15.0,29.0,1.0,88.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,2.0,33.0,118.0,0.0,19.0,2.0,0.0,0.0,8.0,6.0,29.0,14.0,8.0,19.0,0.0,35.0,0.0,0.0,0.0,13.0,1.0,17.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,2.0,0.0,0.0,0.0,11.0,25.0
Guatemala,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,338.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,9.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,8.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,11.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,6.0,5.0,0.0,3.0,3.0,0.0,0.0,13.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0
Panama,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,7.0,1.0,2.0,1.0,9.0,0.0,198.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,14.0,2.0,1.0,0.0,8.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,11.0
