,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Lebanon,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,564.0,0.0,0.0,1.0,4.0,0.0,248.0,0.0,11.0,0.0,58.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0
Bhutan,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,24.0,0.0,184.0,0.0,0.0,1.0,1.0,1.0,2.0,65.0,2828.0,1.0,34.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,116.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,4.0,0.0,14.0,0.0,0.0,16.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,101.0,186.0,96.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,33.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,2.0,13.0,4.0,4.0,0.0,15.0,0.0,1.0,6.0,8.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,15.0,0.0,72.0,1.0,1.0,0.0,2.0,48.0,7.0
Algeria,0.0,0.0,1.0,12.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,903.0,0.0,0.0,5.0,1.0,4.0,71.0,0.0,17.0,3.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,10.0,0.0,2.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,5.0,1.0,10.0,0.0,0.0,0.0,0.0,5.0,18.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,5.0,0.0,0.0,0.0,3.0,3.0
Honduras,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,3.0,1.0,12.0,0.0,6.0,0.0,441.0,0.0,0.0,2.0,2.0,50.0,3.0,0.0,6.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,5.0,4.0,0.0,4.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,2.0,11.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,7.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0
Angola,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,20.0,0.0,13.0,0.0,440.0,0.0,0.0,66.0,0.0,24.0,0.0,0.0,42.0,0.0,1.0,13.0,0.0,0.0,7.0,27.0,0.0,0.0,0.0,6.0,4.0,8.0,1.0,3.0,0.0,1.0,0.0,0.0,13.0,6.0,0.0,6.0,1.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,12.0,181.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,9.0,3.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,74.0,0.0,10.0,0.0,0.0,0.0,0.0,24.0,8.0
Austria,0.0,0.0,4.0,23.0,4.0,3.0,8.0,0.0,5.0,1.0,3.0,5.0,5.0,1.0,0.0,25.0,0.0,1143.0,1.0,0.0,20.0,16.0,4.0,18.0,0.0,68.0,4.0,10.0,1.0,0.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,2.0,7.0,4.0,0.0,11.0,54.0,35.0,0.0,38.0,11.0,0.0,0.0,143.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,10.0,0.0,17.0,14.0,6.0,83.0,11.0,1.0,0.0,0.0,0.0,6.0,4.0,4.0,10.0,6.0,21.0,0.0,7.0,4.0,5.0,0.0,3.0,9.0,14.0,17.0,39.0,0.0,1.0,1.0,0.0,2.0,2.0,18.0,0.0,24.0,6.0,1.0,5.0,17.0,0.0,1.0,2.0,0.0,24.0,0.0,13.0,2.0,1.0,4.0,0.0,2.0,33.0
El Salvador,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,374.0,0.0,0.0,89.0,0.0,14.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,2.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,49.0
Serbia,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,14.0,0.0,785.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,15.0,2.0,4.0,1.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,17.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,6.0
Thailand,0.0,0.0,2.0,21.0,2.0,4.0,6.0,1.0,0.0,0.0,3.0,7.0,1.0,4.0,0.0,60.0,0.0,1032.0,0.0,0.0,48.0,9.0,47.0,6.0,0.0,64.0,0.0,51.0,3.0,0.0,1.0,0.0,15.0,0.0,0.0,1.0,2.0,60.0,1.0,0.0,5.0,5.0,0.0,2.0,15.0,26.0,29.0,3.0,11.0,5.0,2.0,0.0,78.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,17.0,0.0,63.0,29.0,4.0,54.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,3.0,57.0,5.0,2.0,13.0,5.0,2.0,0.0,7.0,2.0,44.0,8.0,9.0,0.0,0.0,1.0,0.0,10.0,18.0,6.0,0.0,15.0,10.0,2.0,8.0,3.0,0.0,3.0,1.0,3.0,157.0,0.0,10.0,1.0,0.0,6.0,0.0,17.0,30.0
Ethiopia,0.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,0.0,9.0,0.0,254.0,0.0,0.0,11.0,3.0,3.0,10.0,1.0,46.0,0.0,6.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,6.0,7.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,57.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,4.0,20.0,24.0,3.0,6.0,1.0,0.0,10.0,1.0,4.0,16.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,8.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,13.0,0.0,5.0,5.0,0.0,0.0,1.0,11.0,2.0
Barbados,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,74.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Hungary,0.0,0.0,1.0,101.0,4.0,10.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,17.0,0.0,875.0,0.0,0.0,12.0,7.0,3.0,19.0,0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,6.0,0.0,7.0,22.0,14.0,0.0,28.0,3.0,1.0,0.0,119.0,0.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,8.0,0.0,27.0,7.0,0.0,40.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,6.0,1.0,5.0,1.0,5.0,2.0,2.0,0.0,2.0,1.0,17.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,17.0,2.0,0.0,1.0,9.0,1.0,2.0,0.0,0.0,31.0,0.0,6.0,0.0,0.0,15.0,1.0,4.0,32.0
Haiti,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,90.0,0.0,3.0,0.0,227.0,0.0,0.0,1.0,1.0,0.0,82.0,0.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,5.0
Jersey,0.0,0.0,2.0,4.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,210.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,9.0,0.0,6.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0
"Bolivia, Plurinational State of",0.0,0.0,1.0,1.0,1.0,1.0,11.0,0.0,0.0,8.0,1.0,6.0,0.0,5.0,0.0,3.0,0.0,955.0,0.0,0.0,3.0,1.0,33.0,0.0,2.0,29.0,1.0,35.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,9.0,0.0,6.0,5.0,6.0,0.0,5.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,15.0,0.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,6.0,0.0,46.0,2.0,1.0,0.0,8.0,0.0,1.0,10.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,13.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,26.0
Morocco,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,38.0,0.0,1059.0,0.0,0.0,6.0,1.0,0.0,70.0,1.0,59.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,24.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,11.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,61.0,0.0,4.0,5.0,0.0,2.0,0.0,4.0,1.0
"Palestine, State of",0.0,0.0,0.0,19.0,1.0,1.0,8.0,1.0,21.0,0.0,16.0,5.0,0.0,12.0,1.0,102.0,0.0,2283.0,1.0,0.0,17.0,13.0,12.0,442.0,0.0,95.0,2.0,77.0,4.0,0.0,2.0,2.0,13.0,0.0,0.0,4.0,0.0,30.0,3.0,0.0,3.0,1.0,4.0,0.0,10.0,37.0,18.0,1.0,27.0,18.0,0.0,0.0,300.0,0.0,1.0,0.0,1.0,0.0,36.0,2.0,1.0,0.0,6.0,0.0,46.0,30.0,1.0,279.0,2.0,1.0,0.0,0.0,1.0,21.0,0.0,8.0,5.0,24.0,41.0,1.0,9.0,14.0,0.0,0.0,7.0,129.0,48.0,14.0,16.0,0.0,0.0,4.0,1.0,1.0,3.0,36.0,0.0,37.0,14.0,2.0,14.0,2.0,0.0,1.0,0.0,0.0,77.0,0.0,23.0,4.0,0.0,5.0,1.0,23.0,26.0
"Korea, Republic of",0.0,0.0,0.0,77.0,0.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,27.0,0.0,820.0,0.0,0.0,34.0,2.0,2.0,4.0,0.0,25.0,0.0,32.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,2.0,5.0,4.0,0.0,10.0,15.0,8.0,1.0,4.0,0.0,1.0,0.0,88.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,2.0,12.0,1.0,3.0,0.0,1.0,3.0,10.0,0.0,2.0,4.0,11.0,2.0,1.0,1.0,9.0,1.0,0.0,4.0,1.0,8.0,3.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,7.0,1.0,0.0,69.0,0.0,1.0,7.0
Saudi Arabia,0.0,0.0,0.0,33.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,73.0,3.0,16.0,0.0,1060.0,0.0,0.0,6.0,0.0,6.0,215.0,0.0,59.0,0.0,265.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,61.0,2.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,3.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,173.0,51.0,2.0,44.0,12.0,2.0,1.0,0.0,0.0,16.0,0.0,0.0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,22.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,5.0,11.0,0.0,0.0,0.0,8.0,8.0
Ireland,0.0,0.0,0.0,10.0,1.0,8.0,1.0,1.0,17.0,1.0,0.0,9.0,10.0,1.0,4.0,61.0,0.0,2296.0,0.0,9.0,37.0,12.0,2.0,1.0,0.0,65.0,7.0,26.0,5.0,0.0,0.0,1.0,66.0,1.0,0.0,4.0,0.0,45.0,15.0,10.0,23.0,9.0,1.0,1.0,26.0,28.0,42.0,6.0,42.0,9.0,0.0,0.0,246.0,0.0,0.0,0.0,6.0,0.0,15.0,3.0,3.0,0.0,12.0,7.0,21.0,16.0,1.0,46.0,8.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,9.0,6.0,24.0,0.0,6.0,19.0,0.0,0.0,14.0,4.0,29.0,44.0,74.0,3.0,1.0,0.0,2.0,7.0,0.0,13.0,0.0,53.0,52.0,11.0,8.0,15.0,0.0,8.0,8.0,0.0,20.0,0.0,28.0,8.0,0.0,4.0,0.0,16.0,43.0
Guinea-Bissau,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0
Hong Kong,0.0,0.0,0.0,102.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,52.0,0.0,428.0,0.0,0.0,88.0,0.0,5.0,0.0,1.0,44.0,0.0,32.0,8.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,3.0,21.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,39.0,18.0,1.0,29.0,1.0,0.0,0.0,177.0,2.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,39.0,3.0,3.0,50.0,0.0,0.0,0.0,0.0,11.0,29.0,0.0,0.0,4.0,171.0,11.0,0.0,2.0,5.0,0.0,0.0,5.0,16.0,75.0,2.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,98.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,22.0,0.0,0.0,0.0,3.0,13.0
Senegal,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,167.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,94.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,37.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,23.0,4.0
Czechia,0.0,0.0,0.0,62.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,792.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,17.0,0.0,0.0,1.0,52.0,3.0,0.0,4.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,6.0,1.0,253.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,5.0,5.0,0.0,1.0,0.0,2.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Tunisia,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,648.0,0.0,0.0,3.0,0.0,0.0,42.0,0.0,5.0,0.0,41.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Panama,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,6.0,1.0,2.0,1.0,9.0,0.0,296.0,0.0,0.0,1.0,2.0,41.0,1.0,0.0,11.0,0.0,13.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,2.0,19.0,2.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,7.0,3.0,8.0,0.0,8.0,0.0,8.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,15.0
Slovenia,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,0.0,26.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
