,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Armenia,0.0,20.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
Lithuania,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,16.0,11.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,2.0,1.0,160.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,76.0,0.0,1.0,2.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,0.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,9.0,1.0,2.0,2.0,1.0,3.0,0.0,254.0,0.0,4.0,1.0,0.0,12.0,0.0,5.0,10.0,0.0,45.0,2.0,13.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,52.0,8.0,0.0,3.0,1.0,1.0,0.0,7.0,11.0,11.0,0.0,5.0,2.0,0.0,0.0,49.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,2.0,0.0,2.0,1.0,2.0,32.0,0.0,161.0,25.0,1.0,2.0,0.0,0.0,23.0,0.0,0.0,20.0,6.0,2.0,0.0,8.0,0.0,2.0,0.0,3.0,21.0,0.0,10.0,8.0,1.0,0.0,1.0,0.0,12.0,1.0,1.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,32.0,0.0,211.0,0.0,4.0,27.0
Egypt,0.0,1.0,0.0,44.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,55.0,5.0,24.0,3.0,2.0,0.0,0.0,0.0,1.0,40.0,174.0,0.0,34.0,0.0,141.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,6.0,0.0,148.0,3.0,1.0,1.0,3.0,0.0,0.0,6.0,16.0,79.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,49.0,0.0,38.0,1.0,0.0,0.0,0.0,1.0,22.0,3.0,3.0,1.0,0.0,11.0,0.0,18.0,0.0,0.0,0.0,3.0,12.0,0.0,42.0,6.0,0.0,0.0,16.0,0.0,5.0,0.0,1.0,0.0,12.0,7.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,32.0,0.0,7.0,77.0,2.0,10.0,0.0,15.0,14.0
Mongolia,0.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,3.0,0.0,19.0,0.0,0.0,3.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,25.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0
Kuwait,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,41.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,10.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Philippines,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,30.0,1.0,4.0,1.0,72.0,0.0,1.0,0.0,0.0,13.0,0.0,636.0,0.0,0.0,56.0,0.0,20.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,149.0,5.0,0.0,5.0,1.0,0.0,0.0,5.0,14.0,5.0,1.0,5.0,0.0,2.0,0.0,38.0,6.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,8.0,23.0,1.0,213.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,23.0,0.0,128.0,2.0,0.0,0.0,4.0,7.0,1.0,25.0,5.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,17.0,4.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,15.0,0.0,14.0,3.0,0.0,3.0,0.0,28.0,29.0
Ghana,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,33.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,16.0,2.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,115.0,0.0,25.0,7.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,17.0,0.0,4.0,0.0,1.0,0.0,7.0,5.0,1.0,9.0,3.0,0.0,0.0,6.0,0.0,2.0,5.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,18.0,9.0,0.0,0.0,3.0,18.0,2.0
Réunion,0.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,50.0,15.0,0.0,9.0,40.0,0.0,9.0,0.0,0.0,1.0,1.0,130.0,1.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,10.0,9.0,0.0,59.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,34.0
Honduras,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,4.0,21.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,3.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,2.0,2.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,128.0
Cameroon,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,52.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,93.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,0.0,21.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,46.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0,1.0
Vanuatu,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Timor-Leste,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,26.0,1.0,9.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,7.0,6.0,0.0,3.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,5.0,2.0,1.0,0.0,5.0,0.0,3.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
Burundi,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,201.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
Denmark,0.0,0.0,0.0,24.0,5.0,2.0,0.0,0.0,9.0,0.0,0.0,10.0,54.0,5.0,0.0,64.0,0.0,10.0,0.0,0.0,3.0,10.0,5.0,2.0,0.0,37.0,0.0,5.0,1.0,0.0,6.0,3.0,58.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,15.0,5.0,0.0,0.0,17.0,18.0,31.0,2.0,12.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,3.0,0.0,8.0,0.0,11.0,18.0,0.0,131.0,9.0,0.0,0.0,0.0,22.0,2.0,0.0,7.0,7.0,13.0,17.0,0.0,5.0,13.0,0.0,0.0,3.0,9.0,0.0,36.0,51.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,18.0,23.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0
Singapore,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,181.0,3.0,81.0,1.0,0.0,15.0,0.0,37.0,1.0,0.0,5.0,0.0,11.0,1.0,0.0,3.0,2.0,58.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,8.0,0.0,5.0,2.0,0.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,0.0,1.0,0.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,4.0,0.0,0.0,0.0,7.0,40.0
Ireland,0.0,0.0,0.0,10.0,3.0,6.0,4.0,0.0,5.0,5.0,7.0,2.0,8.0,2.0,0.0,38.0,0.0,4.0,0.0,1.0,61.0,3.0,8.0,16.0,0.0,41.0,5.0,11.0,4.0,0.0,1.0,2.0,126.0,1.0,0.0,1.0,1.0,63.0,8.0,3.0,22.0,7.0,1.0,0.0,10.0,28.0,59.0,2.0,32.0,6.0,1.0,0.0,104.0,0.0,1.0,0.0,5.0,0.0,7.0,5.0,1.0,0.0,18.0,6.0,5.0,8.0,2.0,76.0,10.0,27.0,0.0,0.0,9.0,3.0,3.0,2.0,1.0,3.0,7.0,1.0,6.0,6.0,1.0,0.0,20.0,5.0,28.0,52.0,34.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,15.0,23.0,6.0,17.0,4.0,0.0,0.0,1.0,0.0,27.0,0.0,19.0,9.0,0.0,1.0,0.0,1.0,33.0
Guernsey,0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cambodia,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,3.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,0.0,5.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,14.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
"Korea, Democratic People's Republic of",0.0,0.0,0.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,17.0,0.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,1.0
Pakistan,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,10.0,1.0,9.0,0.0,87.0,18.0,3.0,0.0,0.0,2.0,0.0,119.0,24.0,1.0,38.0,1.0,20.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,1.0,19.0,7.0,0.0,1.0,1.0,0.0,0.0,29.0,73.0,66.0,3.0,4.0,2.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,12.0,27.0,0.0,0.0,0.0,3.0,0.0,3.0,36.0,0.0,70.0,15.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,775.0,0.0,17.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,9.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,32.0,3.0,44.0,32.0,4.0,1.0,0.0,26.0,7.0
"Palestine, State of",0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,22.0,0.0,54.0,0.0,0.0,1.0,0.0,6.0,73.0,8.0,301.0,0.0,35.0,0.0,24.0,3.0,1.0,6.0,0.0,15.0,0.0,0.0,1.0,1.0,40.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,85.0,60.0,0.0,16.0,2.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,217.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,11.0,10.0,0.0,5.0,14.0,2.0,2.0,8.0,34.0,2.0,9.0,23.0,0.0,2.0,7.0,1.0,3.0,0.0,4.0,0.0,4.0,11.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,9.0,13.0,0.0,10.0,0.0,3.0,12.0
Iceland,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,45.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0
Cyprus,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,10.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,5.0,0.0,100.0,0.0,4.0,0.0
Bahrain,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,31.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,17.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0
Aruba,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Poland,0.0,0.0,0.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,4.0,1.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,3.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,16.0,0.0,1.0,1.0,1.0,35.0,9.0,6.0,0.0,0.0,1.0,2.0,0.0,2.0,8.0,2.0,6.0,0.0,8.0,0.0,2.0,0.0,12.0,9.0,0.0,4.0,100.0,0.0,0.0,0.0,1.0,29.0,0.0,2.0,0.0,10.0,14.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,62.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,3.0
